"hotel";"can";"lt";"arr_m";"arr_wn";"s_wend_n";"s_wday_n";"adults";"children";"babies";"meal";"country";"d_wl";"adr";"res_s";"arr"
"City Hotel";"1";179;"July";"27";0;1;2;0;0;"BB";"ESP";0;96.3;"Canceled";2016-07-01
"City Hotel";"0";116;"June";"23";0;3;2;0;0;"BB";"AUT";0;153;"Check-Out";2017-06-06
"City Hotel";"1";5;"July";"29";0;1;2;0;0;"BB";"ESP";0;151;"Canceled";2016-07-16
"Resort Hotel";"0";225;"June";"26";2;5;2;0;0;"HB";"GBR";0;79.84;"Check-Out";2016-06-23
"City Hotel";"0";90;"May";"19";0;2;2;0;0;"BB";"GBR";0;129.6;"Check-Out";2017-05-10
"City Hotel";"1";100;"April";"15";0;2;3;0;0;"BB";"ITA";0;175.5;"Canceled";2017-04-13
"City Hotel";"1";31;"June";"23";2;3;2;0;0;"BB";"DEU";0;158;"Canceled";2017-06-04
"Resort Hotel";"0";210;"June";"27";4;10;2;0;0;"BB";"NOR";0;61.88;"Check-Out";2016-06-30
"Resort Hotel";"1";305;"May";"21";2;5;2;1;0;"BB";"GBR";0;54;"Canceled";2017-05-25
"City Hotel";"0";19;"November";"48";1;3;2;0;0;"SC";"FRA";0;74.8;"Check-Out";2016-11-24
"City Hotel";"0";107;"November";"46";2;2;2;0;0;"BB";"GBR";0;117.28;"Check-Out";2016-11-06
"City Hotel";"1";14;"August";"33";0;1;2;0;0;"SC";"PRT";0;160;"Canceled";2017-08-17
"City Hotel";"1";88;"September";"39";2;2;2;0;0;"BB";"PRT";0;170;"Canceled";2015-09-26
"City Hotel";"1";6;"September";"38";0;2;1;0;0;"BB";"GBR";0;159;"Canceled";2016-09-15
"Resort Hotel";"0";34;"September";"38";2;1;2;0;0;"BB";"ESP";0;141;"Check-Out";2016-09-11
"City Hotel";"1";86;"December";"50";0;3;2;2;0;"BB";"ESP";0;122;"Canceled";2016-12-08
"Resort Hotel";"1";278;"June";"24";1;0;2;0;0;"BB";"SVK";0;93.6;"Canceled";2017-06-11
"City Hotel";"0";68;"April";"16";1;2;2;0;0;"BB";"FRA";0;75;"Check-Out";2016-04-11
"City Hotel";"0";50;"March";"13";0;1;2;0;0;"BB";"FRA";0;99;"Check-Out";2016-03-24
"City Hotel";"1";179;"July";"27";0;2;2;0;0;"BB";"PRT";0;65;"Canceled";2016-07-01
"Resort Hotel";"1";225;"May";"18";2;5;1;0;0;"BB";"GBR";0;81;"Canceled";2017-05-05
"Resort Hotel";"1";29;"June";"24";2;0;2;2;0;"BB";"ESP";0;169;"Canceled";2016-06-05
"Resort Hotel";"0";86;"December";"53";0;2;3;0;0;"BB";"PRT";0;103.35;"Check-Out";2015-12-31
"Resort Hotel";"0";82;"June";"25";4;10;2;0;0;"HB";"ITA";0;159;"Check-Out";2017-06-21
"City Hotel";"1";17;"March";"12";0;2;2;0;0;"BB";"PRT";0;80;"Canceled";2016-03-17
"City Hotel";"0";85;"December";"51";1;3;2;0;0;"BB";"ESP";0;60;"Check-Out";2015-12-17
"City Hotel";"0";181;"October";"42";0;2;1;0;0;"BB";"PRT";0;120;"Check-Out";2016-10-11
"Resort Hotel";"0";254;"September";"37";2;2;1;0;0;"BB";"CN";0;34;"Check-Out";2015-09-12
"Resort Hotel";"0";64;"August";"33";2;5;2;0;0;"BB";"NLD";0;107;"Check-Out";2015-08-14
"Resort Hotel";"0";0;"March";"12";0;0;1;0;0;"HB";"PRT";0;0;"Check-Out";2016-03-14
"City Hotel";"0";59;"November";"47";0;2;2;0;0;"BB";"FRA";0;75;"Check-Out";2016-11-17
"Resort Hotel";"0";1;"May";"19";1;0;2;0;0;"HB";"PRT";0;90;"Check-Out";2016-05-02
"City Hotel";"0";0;"November";"47";1;0;2;0;0;"BB";"PRT";0;0;"Check-Out";2015-11-16
"City Hotel";"0";31;"June";"27";2;1;2;0;0;"BB";"PRT";0;77.47;"Check-Out";2016-06-26
"City Hotel";"0";47;"April";"16";1;2;2;2;0;"BB";"POL";0;173.12;"Check-Out";2016-04-15
"City Hotel";"0";36;"December";"52";1;3;2;0;0;"BB";"SRB";0;58.92;"Check-Out";2015-12-24
"City Hotel";"0";2;"January";"5";1;0;1;0;0;"BB";"PRT";0;41;"Check-Out";2016-01-25
"City Hotel";"1";248;"October";"44";3;5;2;0;0;"SC";"AUS";0;80.75;"Canceled";2016-10-24
"City Hotel";"1";461;"October";"42";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2016-10-13
"Resort Hotel";"0";129;"June";"23";2;5;2;0;0;"BB";"IRL";0;108.56;"Check-Out";2017-06-04
"City Hotel";"0";40;"August";"34";0;2;3;0;0;"HB";"ESP";0;228.6;"Check-Out";2016-08-19
"City Hotel";"1";121;"May";"19";0;3;2;0;0;"SC";"CHE";0;108;"Canceled";2017-05-09
"City Hotel";"1";257;"July";"27";0;3;0;2;0;"BB";"BRA";0;93.65;"Canceled";2017-07-04
"Resort Hotel";"0";0;"November";"47";0;2;2;0;0;"BB";"PRT";0;61;"Check-Out";2015-11-18
"Resort Hotel";"0";177;"September";"37";2;3;1;0;0;"HB";"GBR";0;89.3;"Check-Out";2016-09-04
"City Hotel";"0";174;"July";"29";1;4;2;0;0;"SC";"IRL";0;80.75;"Check-Out";2016-07-13
"City Hotel";"1";301;"November";"47";0;2;2;0;0;"BB";"PRT";0;52;"Canceled";2016-11-18
"City Hotel";"0";72;"April";"16";0;3;2;0;0;"BB";"POL";0;105.3;"Check-Out";2016-04-14
"Resort Hotel";"0";305;"July";"30";2;5;2;0;0;"BB";"GBR";0;116.57;"Check-Out";2016-07-18
"Resort Hotel";"0";15;"February";"6";2;4;1;0;0;"BB";"POL";0;43;"Check-Out";2017-02-08
"Resort Hotel";"0";322;"June";"26";0;3;2;0;0;"HB";"POL";75;92;"Check-Out";2016-06-22
"City Hotel";"1";115;"January";"3";0;2;2;0;0;"SC";"NLD";0;79.2;"Canceled";2017-01-20
"City Hotel";"1";265;"April";"17";0;4;2;0;0;"BB";"PRT";0;101;"Canceled";2016-04-20
"Resort Hotel";"0";3;"May";"21";1;0;1;0;0;"BB";"PRT";0;67.5;"Check-Out";2017-05-21
"City Hotel";"0";7;"October";"42";0;1;2;0;0;"BB";"PRT";0;135;"Check-Out";2015-10-15
"Resort Hotel";"0";61;"October";"42";2;5;2;2;0;"BB";"GBR";0;121;"Check-Out";2016-10-15
"City Hotel";"1";309;"May";"20";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2016-05-12
"City Hotel";"1";35;"November";"49";1;1;2;0;0;"BB";"PRT";0;75;"Canceled";2016-11-28
"City Hotel";"1";258;"July";"27";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-07-02
"City Hotel";"1";11;"September";"37";0;4;2;0;0;"BB";"PRT";0;78.94;"Canceled";2015-09-08
"Resort Hotel";"0";158;"November";"46";2;1;2;0;0;"BB";"CN";0;51;"Check-Out";2016-11-12
"City Hotel";"1";293;"August";"32";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-06
"City Hotel";"1";405;"August";"33";0;2;2;0;0;"BB";"PRT";0;65;"Canceled";2016-08-10
"City Hotel";"1";440;"September";"39";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2016-09-22
"City Hotel";"1";344;"June";"25";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2016-06-16
"Resort Hotel";"0";260;"June";"25";2;5;2;0;0;"BB";"GBR";0;74.06;"Check-Out";2017-06-22
"City Hotel";"1";204;"March";"10";1;0;2;0;0;"BB";"BRA";0;90;"Canceled";2017-03-05
"City Hotel";"1";294;"August";"32";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-07
"Resort Hotel";"1";83;"April";"17";2;5;2;0;0;"BB";"PRT";0;58;"Canceled";2016-04-22
"City Hotel";"1";146;"March";"14";0;3;1;0;0;"BB";"PRT";28;80;"Canceled";2016-03-30
"City Hotel";"0";132;"June";"26";2;2;2;0;0;"SC";"FRA";0;91.58;"Check-Out";2017-06-30
"City Hotel";"1";31;"November";"45";2;3;2;0;0;"BB";"PRT";0;127.94;"Canceled";2016-11-05
"Resort Hotel";"0";10;"October";"41";2;5;1;0;0;"BB";"IRL";0;41.37;"Check-Out";2015-10-08
"City Hotel";"1";301;"August";"33";0;2;2;0;0;"HB";"PRT";0;101.5;"Canceled";2015-08-14
"Resort Hotel";"0";386;"October";"43";1;3;2;0;0;"BB";"GBR";0;49;"Check-Out";2016-10-20
"City Hotel";"0";63;"February";"6";2;3;2;0;0;"BB";"FRA";0;88.4;"Check-Out";2017-02-05
"City Hotel";"0";176;"July";"28";2;6;2;0;0;"SC";"NLD";0;80.75;"Check-Out";2016-07-05
"City Hotel";"1";98;"November";"48";1;2;1;0;0;"BB";"PRT";0;70;"Canceled";2015-11-23
"City Hotel";"0";7;"August";"33";1;2;2;0;0;"BB";"PRT";0;175.67;"Check-Out";2016-08-12
"City Hotel";"0";82;"July";"27";2;1;2;0;0;"BB";"USA";0;130.5;"Check-Out";2017-07-02
"City Hotel";"0";193;"September";"40";0;3;2;0;0;"BB";"DNK";0;93.09;"Check-Out";2016-09-29
"City Hotel";"1";105;"August";"34";0;3;2;0;0;"SC";"FRA";0;125;"Canceled";2017-08-22
"City Hotel";"1";189;"May";"21";0;3;2;0;0;"BB";"PRT";0;65;"Canceled";2016-05-19
"City Hotel";"1";315;"July";"30";1;2;2;0;0;"SC";"DEU";0;89.1;"Canceled";2017-07-28
"City Hotel";"0";151;"March";"12";1;1;2;0;0;"BB";"PRT";0;95;"Check-Out";2017-03-20
"Resort Hotel";"1";87;"July";"28";0;1;2;2;0;"BB";"CHE";0;270;"Canceled";2017-07-12
"City Hotel";"1";355;"October";"41";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-10-07
"Resort Hotel";"0";8;"September";"39";1;4;2;0;0;"BB";"ITA";0;74.8;"Check-Out";2015-09-23
"City Hotel";"1";423;"May";"21";0;1;2;0;0;"BB";"PRT";0;90;"Canceled";2017-05-23
"Resort Hotel";"0";18;"March";"13";0;1;1;0;0;"BB";"";0;30;"Check-Out";2016-03-22
"Resort Hotel";"0";2;"April";"15";1;2;2;0;0;"HB";"PRT";0;122;"Check-Out";2017-04-10
"Resort Hotel";"1";53;"November";"46";2;2;2;0;0;"BB";"PRT";0;40.81;"Canceled";2016-11-12
"City Hotel";"0";2;"August";"31";2;2;2;0;0;"SC";"AUT";0;128;"Check-Out";2017-08-05
"City Hotel";"0";6;"March";"13";1;2;3;0;0;"BB";"ESP";0;192.67;"Check-Out";2016-03-25
"City Hotel";"1";254;"September";"39";1;1;2;0;0;"HB";"PRT";0;96;"Canceled";2016-09-24
"City Hotel";"0";38;"June";"25";0;4;2;2;0;"BB";"HUN";0;250;"Check-Out";2017-06-21
"City Hotel";"0";12;"February";"6";2;4;2;0;0;"BB";"ITA";0;91.8;"Check-Out";2017-02-09
"City Hotel";"0";148;"July";"27";3;7;2;0;0;"HB";"DEU";0;102.25;"Check-Out";2016-07-01
"Resort Hotel";"0";283;"October";"42";2;5;2;0;0;"BB";"GBR";0;77.29;"Check-Out";2015-10-12
"City Hotel";"1";9;"January";"3";5;13;2;0;0;"BB";"AGO";0;94.35;"Canceled";2017-01-16
"Resort Hotel";"1";383;"October";"41";1;3;2;0;0;"BB";"PRT";0;48;"Canceled";2016-10-06
"City Hotel";"0";7;"May";"19";0;3;1;0;0;"BB";"DEU";0;112;"Check-Out";2016-05-05
"City Hotel";"0";77;"October";"44";0;3;2;0;0;"BB";"GBR";0;104.4;"Check-Out";2016-10-25
"City Hotel";"0";37;"December";"52";2;2;2;0;0;"BB";"SWE";0;87.3;"Check-Out";2015-12-26
"Resort Hotel";"0";39;"June";"25";1;2;2;0;0;"HB";"ESP";0;206;"Check-Out";2017-06-19
"City Hotel";"1";118;"August";"35";0;4;2;0;0;"BB";"PRT";0;58.9;"Canceled";2015-08-26
"Resort Hotel";"0";180;"August";"34";0;4;2;0;0;"BB";"IRL";0;160;"Check-Out";2016-08-16
"City Hotel";"0";159;"July";"28";2;1;2;0;0;"SC";"PRT";0;68.61;"Check-Out";2017-07-15
"City Hotel";"0";187;"October";"41";1;2;1;0;0;"BB";"FRA";0;108.9;"Check-Out";2016-10-07
"Resort Hotel";"0";249;"June";"25";2;5;2;0;0;"BB";"GBR";0;86.23;"Check-Out";2017-06-24
"City Hotel";"1";444;"December";"49";0;3;1;0;0;"BB";"PRT";39;75;"Canceled";2016-12-01
"City Hotel";"1";146;"July";"28";0;1;2;1;0;"BB";"LUX";0;125.1;"Canceled";2017-07-11
"Resort Hotel";"0";2;"May";"19";0;1;1;0;0;"BB";"PRT";0;45;"Check-Out";2017-05-10
"Resort Hotel";"0";0;"December";"50";1;0;1;0;0;"BB";"PRT";0;25;"Check-Out";2015-12-07
"City Hotel";"1";13;"April";"18";0;3;2;0;0;"BB";"GBR";0;137.67;"Canceled";2016-04-28
"City Hotel";"0";65;"April";"17";0;1;2;0;0;"BB";"BRA";0;118.8;"Check-Out";2016-04-23
"City Hotel";"1";198;"December";"49";2;1;2;0;0;"HB";"ESP";0;90;"Canceled";2015-12-05
"City Hotel";"1";240;"July";"30";2;1;2;0;0;"BB";"PRT";0;110;"Canceled";2017-07-23
"Resort Hotel";"0";51;"March";"12";0;1;2;0;0;"BB";"PRT";0;30;"Check-Out";2016-03-17
"Resort Hotel";"1";151;"August";"33";2;6;2;0;0;"BB";"ESP";0;217.5;"Canceled";2017-08-17
"City Hotel";"0";85;"December";"49";1;1;1;0;0;"BB";"IRL";0;98;"Check-Out";2016-12-03
"City Hotel";"1";123;"August";"34";2;4;2;0;0;"BB";"PRT";0;155;"Canceled";2017-08-20
"City Hotel";"1";101;"June";"23";2;5;2;0;0;"HB";"ESP";0;184.63;"Canceled";2017-06-10
"City Hotel";"0";18;"August";"31";0;1;3;1;0;"BB";"PRT";0;241.48;"Check-Out";2017-08-05
"City Hotel";"1";1;"February";"10";2;1;1;0;0;"BB";"PRT";0;60;"Canceled";2016-02-28
"City Hotel";"1";283;"July";"31";1;1;2;0;0;"BB";"PRT";0;62;"Canceled";2015-07-27
"City Hotel";"1";110;"April";"17";1;4;3;0;0;"SC";"NOR";0;100.8;"Canceled";2017-04-26
"City Hotel";"0";12;"August";"34";0;1;2;0;0;"SC";"DEU";0;81;"Check-Out";2015-08-22
"Resort Hotel";"0";364;"October";"42";1;4;2;0;0;"BB";"GBR";0;66;"Check-Out";2016-10-12
"City Hotel";"1";85;"July";"30";2;2;2;0;0;"SC";"ESP";0;94.5;"Canceled";2016-07-17
"City Hotel";"0";86;"August";"31";0;2;2;0;0;"BB";"GBR";0;112.5;"Check-Out";2017-08-03
"City Hotel";"0";251;"August";"31";2;3;3;0;0;"BB";"ITA";0;156.6;"Check-Out";2017-08-05
"City Hotel";"0";44;"April";"16";0;3;1;0;0;"BB";"ITA";0;106.67;"Check-Out";2017-04-20
"City Hotel";"0";127;"April";"18";1;3;2;0;0;"BB";"USA";0;90;"Check-Out";2016-04-28
"Resort Hotel";"1";65;"May";"21";1;0;2;0;0;"BB";"CHE";0;58;"Canceled";2016-05-16
"Resort Hotel";"1";76;"August";"33";2;3;2;0;0;"BB";"USA";0;265;"Canceled";2017-08-18
"City Hotel";"0";111;"July";"30";2;5;2;0;0;"BB";"BEL";0;145;"Check-Out";2017-07-26
"Resort Hotel";"0";383;"October";"41";0;3;1;0;0;"BB";"GBR";0;50;"Check-Out";2016-10-06
"City Hotel";"1";54;"November";"45";1;4;2;0;0;"SC";"POL";0;85.6;"Canceled";2016-11-02
"City Hotel";"1";5;"February";"7";4;8;2;0;0;"BB";"SAU";0;106.83;"No-Show";2016-02-12
"City Hotel";"0";322;"May";"18";0;1;1;0;0;"BB";"PRT";0;64.5;"Check-Out";2017-05-05
"City Hotel";"0";0;"June";"23";0;0;0;0;0;"HB";"PRT";0;0;"Check-Out";2017-06-04
"City Hotel";"1";307;"August";"34";0;2;2;0;0;"BB";"PRT";0;62.8;"Canceled";2015-08-20
"Resort Hotel";"0";0;"October";"42";0;1;2;0;0;"BB";"DEU";0;73;"Check-Out";2015-10-16
"City Hotel";"0";91;"September";"36";2;2;2;0;0;"BB";"DEU";0;135.9;"Check-Out";2016-09-03
"City Hotel";"0";6;"May";"21";1;0;1;0;0;"BB";"FRA";0;140;"Check-Out";2017-05-21
"City Hotel";"0";0;"July";"30";0;4;2;0;0;"BB";"DEU";0;99.7;"Check-Out";2016-07-20
"City Hotel";"1";379;"July";"30";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2016-07-21
"Resort Hotel";"1";275;"October";"41";2;0;2;0;0;"HB";"PRT";0;50;"Canceled";2015-10-04
"City Hotel";"0";20;"July";"30";0;2;2;0;0;"BB";"PRT";0;62;"Check-Out";2015-07-22
"City Hotel";"0";67;"February";"7";2;1;1;0;0;"SC";"FRA";0;48.51;"Check-Out";2016-02-13
"City Hotel";"1";38;"January";"2";0;1;1;0;0;"BB";"PRT";0;75;"Canceled";2017-01-14
"City Hotel";"0";377;"October";"42";0;2;2;0;0;"HB";"DEU";0;115;"Check-Out";2016-10-14
"City Hotel";"0";138;"July";"31";1;2;2;1;0;"BB";"FRA";0;121.5;"Check-Out";2016-07-25
"City Hotel";"0";24;"June";"25";1;1;1;0;0;"SC";"ESP";0;99;"Check-Out";2016-06-13
"Resort Hotel";"0";21;"March";"12";0;4;3;0;0;"BB";"IRL";0;30;"Check-Out";2016-03-16
"Resort Hotel";"0";5;"October";"41";0;2;2;0;0;"BB";"GBR";0;131;"Check-Out";2016-10-04
"City Hotel";"1";55;"August";"33";0;2;3;0;0;"BB";"BRA";0;210;"Canceled";2017-08-17
"City Hotel";"1";317;"September";"38";0;2;2;0;0;"BB";"PRT";0;120;"Canceled";2016-09-15
"Resort Hotel";"0";4;"April";"15";1;1;1;0;0;"HB";"DEU";0;54.5;"Check-Out";2016-04-04
"City Hotel";"0";134;"June";"25";0;1;2;0;0;"SC";"GBR";0;116.1;"Check-Out";2016-06-18
"City Hotel";"1";355;"October";"41";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-10-07
"City Hotel";"1";213;"October";"40";2;2;2;0;0;"SC";"IRL";0;92.65;"Canceled";2016-10-01
"City Hotel";"0";43;"February";"9";1;2;2;0;0;"BB";"ESP";0;88.5;"Check-Out";2016-02-26
"Resort Hotel";"0";51;"July";"31";1;2;2;0;0;"BB";"ESP";0;115;"Check-Out";2015-07-27
"City Hotel";"0";71;"April";"15";0;3;2;2;0;"BB";"ITA";0;171.3;"Check-Out";2016-04-07
"City Hotel";"0";33;"January";"5";1;1;3;0;0;"BB";"BRA";15;95;"Check-Out";2016-01-25
"Resort Hotel";"0";149;"June";"24";2;5;2;0;0;"BB";"IRL";0;80.47;"Check-Out";2017-06-17
"Resort Hotel";"0";52;"August";"32";1;2;2;0;0;"BB";"PRT";0;173;"Check-Out";2015-08-07
"City Hotel";"0";326;"August";"34";1;1;2;0;0;"SC";"DEU";0;89.1;"Check-Out";2017-08-26
"Resort Hotel";"0";127;"December";"52";2;5;2;2;0;"BB";"POL";0;94.36;"Check-Out";2015-12-24
"Resort Hotel";"0";202;"September";"40";2;5;2;0;0;"BB";"GBR";0;104.67;"Check-Out";2015-09-29
"City Hotel";"0";213;"August";"35";1;3;1;0;0;"HB";"PRT";0;104;"Check-Out";2017-08-28
"City Hotel";"1";160;"December";"53";0;3;2;0;0;"BB";"PRT";111;70;"Canceled";2015-12-30
"Resort Hotel";"0";185;"July";"31";2;5;2;0;0;"BB";"PRT";0;90.1;"Check-Out";2016-07-25
"City Hotel";"1";212;"August";"33";1;1;2;0;0;"HB";"PRT";0;96;"Canceled";2016-08-13
"Resort Hotel";"0";0;"August";"32";2;4;2;0;0;"BB";"NOR";0;192;"Check-Out";2017-08-09
"Resort Hotel";"0";44;"June";"25";2;8;2;0;0;"BB";"GBR";0;108.97;"Check-Out";2017-06-22
"City Hotel";"1";10;"August";"33";1;0;2;0;0;"SC";"GBR";0;139;"Canceled";2016-08-08
"City Hotel";"0";0;"June";"26";0;1;2;0;0;"SC";"FRA";0;102;"Check-Out";2017-06-27
"City Hotel";"0";67;"October";"44";0;1;2;0;0;"SC";"CN";0;89.1;"Check-Out";2016-10-28
"Resort Hotel";"0";234;"July";"30";2;5;3;0;0;"HB";"PRT";0;213.55;"Check-Out";2016-07-22
"City Hotel";"0";35;"October";"44";1;2;2;0;0;"BB";"FRA";0;75;"Check-Out";2015-10-26
"Resort Hotel";"1";101;"September";"37";0;1;2;2;0;"BB";"PRT";0;153;"Canceled";2015-09-12
"Resort Hotel";"0";272;"September";"40";0;3;2;0;0;"HB";"FRA";0;73;"Check-Out";2015-09-30
"Resort Hotel";"1";207;"September";"39";1;1;2;0;0;"HB";"PRT";0;34;"Canceled";2015-09-26
"City Hotel";"0";40;"October";"44";0;3;2;0;0;"BB";"FRA";0;85;"Check-Out";2016-10-25
"Resort Hotel";"1";211;"May";"20";1;1;2;0;0;"HB";"PRT";0;86;"Canceled";2016-05-14
"Resort Hotel";"0";313;"July";"26";2;5;2;0;0;"HB";"PRT";0;128.04;"Check-Out";2017-07-01
"Resort Hotel";"0";7;"June";"26";2;1;2;0;0;"BB";"ESP";0;129;"Check-Out";2016-06-25
"Resort Hotel";"0";236;"July";"27";3;5;2;1;0;"BB";"PRT";0;113.63;"Check-Out";2017-07-02
"City Hotel";"1";69;"June";"25";2;4;1;0;0;"BB";"PRT";0;120;"Canceled";2016-06-12
"City Hotel";"0";10;"August";"33";0;2;2;0;0;"BB";"PRT";0;180;"Check-Out";2017-08-18
"City Hotel";"0";20;"May";"20";2;1;2;0;0;"SC";"GBR";0;0;"Check-Out";2017-05-20
"Resort Hotel";"1";55;"July";"27";2;8;2;0;0;"BB";"PRT";0;113;"Canceled";2017-07-04
"City Hotel";"0";200;"August";"32";2;2;2;0;0;"SC";"ZAF";0;62.18;"Check-Out";2016-08-06
"Resort Hotel";"1";24;"June";"24";0;3;2;0;0;"BB";"CHE";0;122.33;"Canceled";2016-06-08
"City Hotel";"1";34;"August";"32";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-05
"City Hotel";"0";3;"December";"52";0;1;2;0;0;"SC";"PRT";0;75;"Check-Out";2015-12-26
"Resort Hotel";"0";112;"July";"28";3;7;2;0;0;"BB";"GBR";0;120.6;"Check-Out";2015-07-06
"Resort Hotel";"0";49;"April";"17";1;1;2;0;0;"BB";"PRT";0;80;"Check-Out";2016-04-23
"City Hotel";"0";0;"November";"49";0;1;1;0;0;"BB";"NLD";0;80;"Check-Out";2016-11-29
"Resort Hotel";"0";2;"March";"10";0;1;2;0;0;"BB";"PRT";0;58;"Check-Out";2016-03-05
"Resort Hotel";"1";110;"April";"17";1;3;1;0;0;"BB";"PRT";0;44.1;"Canceled";2016-04-18
"Resort Hotel";"0";4;"December";"51";1;1;2;0;0;"BB";"PRT";0;49;"Check-Out";2015-12-14
"Resort Hotel";"0";45;"October";"44";2;4;2;0;0;"HB";"ESP";0;80.33;"Check-Out";2016-10-29
"Resort Hotel";"1";85;"February";"5";2;5;2;0;0;"BB";"PRT";0;29;"Canceled";2017-02-04
"City Hotel";"0";172;"August";"35";0;3;3;0;0;"BB";"ESP";0;137.7;"Check-Out";2016-08-25
"City Hotel";"1";19;"October";"41";0;3;1;0;0;"BB";"PRT";0;80;"Canceled";2015-10-06
"City Hotel";"0";1;"May";"22";0;2;2;0;0;"BB";"CN";0;176;"Check-Out";2016-05-26
"City Hotel";"0";226;"October";"44";2;2;2;0;0;"BB";"FRA";0;70;"Check-Out";2016-10-29
"Resort Hotel";"0";16;"February";"6";2;2;2;0;0;"BB";"FRA";0;58;"Check-Out";2017-02-11
"Resort Hotel";"0";86;"June";"26";0;1;1;0;0;"BB";"PRT";0;120;"Check-Out";2017-06-30
"City Hotel";"0";41;"July";"30";0;2;2;0;1;"HB";"ESP";0;161.1;"Check-Out";2016-07-19
"City Hotel";"0";106;"April";"17";2;3;2;0;0;"BB";"FRA";0;82.45;"Check-Out";2016-04-17
"City Hotel";"0";131;"August";"32";0;3;2;0;0;"BB";"USA";0;87.03;"Check-Out";2016-08-03
"Resort Hotel";"0";191;"July";"32";2;3;2;0;0;"BB";"PRT";0;150.35;"Check-Out";2016-07-31
"Resort Hotel";"0";13;"April";"18";0;2;2;1;1;"BB";"PRT";0;131;"Check-Out";2016-04-29
"Resort Hotel";"1";217;"August";"34";2;5;2;1;0;"Undefined";"PRT";0;52.5;"Canceled";2017-08-21
"City Hotel";"0";31;"May";"20";2;3;1;0;0;"BB";"PRT";0;130;"Check-Out";2017-05-14
"Resort Hotel";"0";3;"January";"4";0;1;2;0;0;"BB";"PRT";0;45;"Check-Out";2017-01-27
"City Hotel";"0";25;"June";"27";2;4;2;0;0;"BB";"GBR";0;113.31;"Check-Out";2016-06-26
"City Hotel";"0";22;"August";"35";1;3;2;0;0;"BB";"GBR";0;160;"Check-Out";2017-08-28
"Resort Hotel";"1";40;"May";"21";0;2;1;0;0;"BB";"PRT";0;55;"Canceled";2016-05-18
"Resort Hotel";"1";106;"March";"13";1;3;2;0;0;"FB";"PRT";0;84;"Canceled";2016-03-24
"Resort Hotel";"1";179;"June";"26";2;5;2;0;0;"BB";"GBR";0;110;"Canceled";2017-06-27
"City Hotel";"0";84;"November";"48";1;2;2;0;0;"BB";"PRT";0;64;"Check-Out";2015-11-27
"City Hotel";"0";47;"October";"45";2;5;2;0;0;"BB";"FRA";0;75;"Check-Out";2016-10-30
"City Hotel";"1";68;"December";"49";0;1;1;0;0;"BB";"PRT";0;65;"No-Show";2015-12-02
"Resort Hotel";"0";178;"August";"33";2;5;3;0;0;"BB";"GBR";0;170.03;"Check-Out";2017-08-18
"City Hotel";"1";26;"May";"22";0;1;2;0;0;"BB";"LUX";0;170;"Canceled";2017-05-31
"City Hotel";"0";103;"October";"45";1;0;2;0;0;"SC";"BGR";0;80.1;"Check-Out";2016-10-31
"City Hotel";"0";6;"December";"52";2;1;2;1;0;"BB";"FRA";0;116;"Check-Out";2016-12-18
"City Hotel";"0";9;"April";"16";1;0;1;0;0;"SC";"PRT";0;105;"Check-Out";2016-04-10
"Resort Hotel";"0";16;"May";"20";2;5;2;0;0;"BB";"ESP";0;147;"Check-Out";2017-05-19
"City Hotel";"1";229;"July";"28";1;4;2;0;0;"BB";"PRT";0;110;"Canceled";2017-07-12
"City Hotel";"1";44;"February";"8";0;3;2;0;0;"BB";"PRT";3;75;"Canceled";2016-02-17
"City Hotel";"1";174;"June";"22";0;3;2;0;0;"BB";"PRT";0;110;"Canceled";2017-06-01
"Resort Hotel";"0";16;"March";"14";0;4;2;0;0;"BB";"";0;67;"Check-Out";2016-03-29
"Resort Hotel";"0";159;"August";"34";3;5;2;0;0;"BB";"PRT";0;139;"Check-Out";2015-08-17
"City Hotel";"0";34;"September";"37";0;2;2;0;0;"BB";"CHN";0;135.9;"Check-Out";2016-09-09
"Resort Hotel";"0";0;"January";"5";0;1;3;0;0;"BB";"MAR";0;50;"Check-Out";2016-01-26
"City Hotel";"1";321;"September";"36";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-09-03
"City Hotel";"0";1;"March";"13";0;3;2;2;0;"BB";"ESP";0;211;"Check-Out";2016-03-23
"Resort Hotel";"0";123;"October";"43";2;4;2;0;0;"BB";"SWE";0;115;"Check-Out";2016-10-21
"Resort Hotel";"0";4;"August";"35";2;2;2;0;0;"BB";"PRT";0;210;"Check-Out";2017-08-27
"City Hotel";"0";6;"May";"21";1;2;2;0;0;"BB";"ARG";0;121.67;"Check-Out";2016-05-16
"City Hotel";"1";25;"May";"20";2;1;2;0;0;"BB";"PRT";0;90;"Canceled";2017-05-20
